노선id,노선번호,운행회차,회차,정류소번호명,정류소번호,정류소순번,정류소명,차량번호,운행출발일시,운행출발연월일시,하차일시,인원,누적인원
11110537,관악02,01,[01] 06:38,01_낙성대역,01,1,낙성대역,서울70사8904,06:38,2019-09-02 6:38,2019-09-02 6:38,4,4
11110537,관악02,01,[01] 06:38,02_낙성대입구,02,2,낙성대입구,서울70사8904,06:38,2019-09-02 6:38,,0,4
11110537,관악02,01,[01] 06:38,03_인헌초등학교,03,3,인헌초등학교,서울70사8904,06:38,2019-09-02 6:38,,0,4
11110537,관악02,01,[01] 06:38,04_낙성대현대아파트,04,4,낙성대현대아파트,서울70사8904,06:38,2019-09-02 6:38,2019-09-02 6:55,2,6
11110537,관악02,01,[01] 06:38,05_낙성대공원.관악복합평생교육센터,05,5,낙성대공원.관악복합평생교육센터,서울70사8904,06:38,2019-09-02 6:38,2019-09-02 6:55,2,8
11110537,관악02,01,[01] 06:38,06_서울과학전시관,06,6,서울과학전시관,서울70사8904,06:38,2019-09-02 6:38,2019-09-02 6:57,1,9
11110537,관악02,01,[01] 06:38,07_호암교수회관,07,7,호암교수회관,서울70사8904,06:38,2019-09-02 6:38,,0,9
11110537,관악02,01,[01] 06:38,08_인헌아파트,08,8,인헌아파트,서울70사8904,06:38,2019-09-02 6:38,,0,9
11110537,관악02,01,[01] 06:38,09_교수아파트,09,9,교수아파트,서울70사8904,06:38,2019-09-02 6:38,,0,9
11110537,관악02,01,[01] 06:38,10_가족생활동,10,10,가족생활동,서울70사8904,06:38,2019-09-02 6:38,,0,9
11110537,관악02,01,[01] 06:38,11_서울대후문.연구공원,11,11,서울대후문.연구공원,서울70사8904,06:38,2019-09-02 6:38,,0,9
11110537,관악02,01,[01] 06:38,12_학부생활관,12,12,학부생활관,서울70사8904,06:38,2019-09-02 6:38,2019-09-02 7:00,4,13
11110537,관악02,01,[01] 06:38,13_대학원생활관,13,13,대학원생활관,서울70사8904,06:38,2019-09-02 6:38,2019-09-02 7:01,1,14
11110537,관악02,01,[01] 06:38,14_기숙사삼거리,14,14,기숙사삼거리,서울70사8904,06:38,2019-09-02 6:38,2019-09-02 7:02,1,15
11110537,관악02,01,[01] 06:38,15_공동기기원,15,15,공동기기원,서울70사8904,06:38,2019-09-02 6:38,,0,15
11110537,관악02,01,[01] 06:38,16_유전공학연구소.반도체공동연구소,16,16,유전공학연구소.반도체공동연구소,서울70사8904,06:38,2019-09-02 6:38,,0,15
11110537,관악02,01,[01] 06:38,17_에너지자원연구소,17,17,에너지자원연구소,서울70사8904,06:38,2019-09-02 6:38,2019-09-02 7:06,1,16
11110537,관악02,01,[01] 06:38,18_신소재연구소,18,18,신소재연구소,서울70사8904,06:38,2019-09-02 6:38,,0,16
11110537,관악02,01,[01] 06:38,19_제2파워플랜트,19,19,제2파워플랜트,서울70사8904,06:38,2019-09-02 6:38,,0,16
11110537,관악02,01,[01] 06:38,20_건설환경종합연구소,20,20,건설환경종합연구소,서울70사8904,06:38,2019-09-02 6:38,,0,16
11110537,관악02,01,[01] 06:38,21_제2공학관,21,21,제2공학관,서울70사8904,06:38,2019-09-02 6:38,2019-09-02 7:10,1,17
11110537,관악02,01,[01] 06:38,22_유회진학술정보관.제1공학관,22,22,유회진학술정보관.제1공학관,서울70사8904,06:38,2019-09-02 6:38,,0,17
11110537,관악02,01,[01] 06:38,23_유전공학연구소.반도체공동연구소,23,23,유전공학연구소.반도체공동연구소,서울70사8904,06:38,2019-09-02 6:38,,0,17
11110537,관악02,01,[01] 06:38,24_교수회관입구,24,24,교수회관입구,서울70사8904,06:38,2019-09-02 6:38,,0,17
11110537,관악02,01,[01] 06:38,25_관악사삼거리,25,25,관악사삼거리,서울70사8904,06:38,2019-09-02 6:38,,0,17
11110537,관악02,01,[01] 06:38,26_대학원생활관,26,26,대학원생활관,서울70사8904,06:38,2019-09-02 6:38,,0,17
11110537,관악02,01,[01] 06:38,27_노천강당,27,27,노천강당,서울70사8904,06:38,2019-09-02 6:38,,0,17
11110537,관악02,01,[01] 06:38,28_학부생활관,28,28,학부생활관,서울70사8904,06:38,2019-09-02 6:38,,0,17
11110537,관악02,01,[01] 06:38,29_BK국제관,29,29,BK국제관,서울70사8904,06:38,2019-09-02 6:38,,0,17
11110537,관악02,01,[01] 06:38,30_가족생활동,30,30,가족생활동,서울70사8904,06:38,2019-09-02 6:38,,0,17
11110537,관악02,01,[01] 06:38,31_호암교수회관,31,31,호암교수회관,서울70사8904,06:38,2019-09-02 6:38,,0,17
11110537,관악02,01,[01] 06:38,32_인헌아파트,32,32,인헌아파트,서울70사8904,06:38,2019-09-02 6:38,,0,17
11110537,관악02,01,[01] 06:38,33_서울과학전시관,33,33,서울과학전시관,서울70사8904,06:38,2019-09-02 6:38,,0,17
11110537,관악02,01,[01] 06:38,34_낙성대공원.관악복합평생교육센터,34,34,낙성대공원.관악복합평생교육센터,서울70사8904,06:38,2019-09-02 6:38,,0,17
11110537,관악02,01,[01] 06:38,35_낙성대현대아파트,35,35,낙성대현대아파트,서울70사8904,06:38,2019-09-02 6:38,,0,17
11110537,관악02,01,[01] 06:38,36_인헌초등학교,36,36,인헌초등학교,서울70사8904,06:38,2019-09-02 6:38,,0,17
11110537,관악02,01,[01] 06:38,37_낙성대입구,37,37,낙성대입구,서울70사8904,07:42,2019-09-02 6:38,2019-09-02 7:42,3,20
11110537,관악02,02,[02] 07:42,01_낙성대역,01,38,낙성대역,서울70사8904,07:42,2019-09-02 7:42,2019-09-02 7:46,10,30
11110537,관악02,02,[02] 07:42,02_낙성대입구,02,39,낙성대입구,서울70사8904,07:42,2019-09-02 7:42,2019-09-02 7:56,2,32
11110537,관악02,02,[02] 07:42,03_인헌초등학교,03,40,인헌초등학교,서울70사8904,07:42,2019-09-02 7:42,2019-09-02 7:59,4,36
11110537,관악02,02,[02] 07:42,04_낙성대현대아파트,04,41,낙성대현대아파트,서울70사8904,07:42,2019-09-02 7:42,2019-09-02 8:00,7,43
11110537,관악02,02,[02] 07:42,05_낙성대공원.관악복합평생교육센터,05,42,낙성대공원.관악복합평생교육센터,서울70사8904,07:42,2019-09-02 7:42,2019-09-02 8:02,2,45
11110537,관악02,02,[02] 07:42,06_서울과학전시관,06,43,서울과학전시관,서울70사8904,07:42,2019-09-02 7:42,2019-09-02 8:02,6,51
11110537,관악02,02,[02] 07:42,07_호암교수회관,07,44,호암교수회관,서울70사8904,07:42,2019-09-02 7:42,2019-09-02 8:03,6,57
11110537,관악02,02,[02] 07:42,08_인헌아파트,08,45,인헌아파트,서울70사8904,07:42,2019-09-02 7:42,2019-09-02 8:04,11,68
11110537,관악02,02,[02] 07:42,09_교수아파트,09,46,교수아파트,서울70사8904,07:42,2019-09-02 7:42,2019-09-02 8:06,2,70
11110537,관악02,02,[02] 07:42,10_가족생활동,10,47,가족생활동,서울70사8904,07:42,2019-09-02 7:42,2019-09-02 8:07,2,72
11110537,관악02,02,[02] 07:42,11_서울대후문.연구공원,11,48,서울대후문.연구공원,서울70사8904,07:42,2019-09-02 7:42,2019-09-02 8:07,6,78
11110537,관악02,02,[02] 07:42,12_학부생활관,12,49,학부생활관,서울70사8904,07:42,2019-09-02 7:42,2019-09-02 8:08,1,79
11110537,관악02,02,[02] 07:42,13_대학원생활관,13,50,대학원생활관,서울70사8904,07:42,2019-09-02 7:42,2019-09-02 8:11,4,83
11110537,관악02,02,[02] 07:42,14_기숙사삼거리,14,51,기숙사삼거리,서울70사8904,07:42,2019-09-02 7:42,2019-09-02 8:18,1,84
11110537,관악02,02,[02] 07:42,15_공동기기원,15,52,공동기기원,서울70사8904,07:42,2019-09-02 7:42,2019-09-02 8:23,2,86
11110537,관악02,02,[02] 07:42,16_유전공학연구소.반도체공동연구소,16,53,유전공학연구소.반도체공동연구소,서울70사8904,07:42,2019-09-02 7:42,2019-09-02 8:25,1,87
11110537,관악02,02,[02] 07:42,17_에너지자원연구소,17,54,에너지자원연구소,서울70사8904,07:42,2019-09-02 7:42,2019-09-02 8:27,2,89
11110537,관악02,02,[02] 07:42,18_신소재연구소,18,55,신소재연구소,서울70사8904,07:42,2019-09-02 7:42,,0,89
11110537,관악02,02,[02] 07:42,19_제2파워플랜트,19,56,제2파워플랜트,서울70사8904,07:42,2019-09-02 7:42,,0,89
11110537,관악02,02,[02] 07:42,20_건설환경종합연구소,20,57,건설환경종합연구소,서울70사8904,07:42,2019-09-02 7:42,,0,89
11110537,관악02,02,[02] 07:42,21_제2공학관,21,58,제2공학관,서울70사8904,07:42,2019-09-02 7:42,,0,89
11110537,관악02,02,[02] 07:42,22_유회진학술정보관.제1공학관,22,59,유회진학술정보관.제1공학관,서울70사8904,07:42,2019-09-02 7:42,,0,89
11110537,관악02,02,[02] 07:42,23_유전공학연구소.반도체공동연구소,23,60,유전공학연구소.반도체공동연구소,서울70사8904,07:42,2019-09-02 7:42,,0,89
11110537,관악02,02,[02] 07:42,24_교수회관입구,24,61,교수회관입구,서울70사8904,07:42,2019-09-02 7:42,,0,89
11110537,관악02,02,[02] 07:42,25_관악사삼거리,25,62,관악사삼거리,서울70사8904,07:42,2019-09-02 7:42,,0,89
11110537,관악02,02,[02] 07:42,26_대학원생활관,26,63,대학원생활관,서울70사8904,07:42,2019-09-02 7:42,,0,89
11110537,관악02,02,[02] 07:42,27_노천강당,27,64,노천강당,서울70사8904,07:42,2019-09-02 7:42,,0,89
11110537,관악02,02,[02] 07:42,28_학부생활관,28,65,학부생활관,서울70사8904,07:42,2019-09-02 7:42,,0,89
11110537,관악02,02,[02] 07:42,29_BK국제관,29,66,BK국제관,서울70사8904,07:42,2019-09-02 7:42,,0,89
11110537,관악02,02,[02] 07:42,30_가족생활동,30,67,가족생활동,서울70사8904,07:42,2019-09-02 7:42,,0,89
11110537,관악02,02,[02] 07:42,31_호암교수회관,31,68,호암교수회관,서울70사8904,07:42,2019-09-02 7:42,,0,89
11110537,관악02,02,[02] 07:42,32_인헌아파트,32,69,인헌아파트,서울70사8904,07:42,2019-09-02 7:42,,0,89
11110537,관악02,02,[02] 07:42,33_서울과학전시관,33,70,서울과학전시관,서울70사8904,07:42,2019-09-02 7:42,,0,89
11110537,관악02,02,[02] 07:42,34_낙성대공원.관악복합평생교육센터,34,71,낙성대공원.관악복합평생교육센터,서울70사8904,07:42,2019-09-02 7:42,,0,89
11110537,관악02,02,[02] 07:42,35_낙성대현대아파트,35,72,낙성대현대아파트,서울70사8904,07:42,2019-09-02 7:42,,0,89
11110537,관악02,02,[02] 07:42,36_인헌초등학교,36,73,인헌초등학교,서울70사8904,07:42,2019-09-02 7:42,,0,89
11110537,관악02,02,[02] 07:42,37_낙성대입구,37,74,낙성대입구,서울70사8904,07:42,2019-09-02 7:42,,0,89
11110537,관악02,03,[03] 08:31,01_낙성대역,01,75,낙성대역,서울70사8904,08:31,2019-09-02 8:31,2019-09-02 8:31,13,102
11110537,관악02,03,[03] 08:31,02_낙성대입구,02,76,낙성대입구,서울70사8904,08:31,2019-09-02 8:31,2019-09-02 8:36,1,103
11110537,관악02,03,[03] 08:31,03_인헌초등학교,03,77,인헌초등학교,서울70사8904,08:31,2019-09-02 8:31,,0,103
11110537,관악02,03,[03] 08:31,04_낙성대현대아파트,04,78,낙성대현대아파트,서울70사8904,08:31,2019-09-02 8:31,2019-09-02 8:38,1,104
11110537,관악02,03,[03] 08:31,05_낙성대공원.관악복합평생교육센터,05,79,낙성대공원.관악복합평생교육센터,서울70사8904,08:31,2019-09-02 8:31,,0,104
11110537,관악02,03,[03] 08:31,06_서울과학전시관,06,80,서울과학전시관,서울70사8904,08:31,2019-09-02 8:31,,0,104
11110537,관악02,03,[03] 08:31,07_호암교수회관,07,81,호암교수회관,서울70사8904,08:31,2019-09-02 8:31,2019-09-02 8:41,3,107
11110537,관악02,03,[03] 08:31,08_인헌아파트,08,82,인헌아파트,서울70사8904,08:31,2019-09-02 8:31,,0,107
11110537,관악02,03,[03] 08:31,09_교수아파트,09,83,교수아파트,서울70사8904,08:31,2019-09-02 8:31,,0,107
11110537,관악02,03,[03] 08:31,10_가족생활동,10,84,가족생활동,서울70사8904,08:31,2019-09-02 8:31,,0,107
11110537,관악02,03,[03] 08:31,11_서울대후문.연구공원,11,85,서울대후문.연구공원,서울70사8904,08:31,2019-09-02 8:31,,0,107
11110537,관악02,03,[03] 08:31,12_학부생활관,12,86,학부생활관,서울70사8904,08:31,2019-09-02 8:31,2019-09-02 8:43,2,109
11110537,관악02,03,[03] 08:31,13_대학원생활관,13,87,대학원생활관,서울70사8904,08:31,2019-09-02 8:31,2019-09-02 8:43,3,112
11110537,관악02,03,[03] 08:31,14_기숙사삼거리,14,88,기숙사삼거리,서울70사8904,08:31,2019-09-02 8:31,2019-09-02 8:44,10,122
11110537,관악02,03,[03] 08:31,15_공동기기원,15,89,공동기기원,서울70사8904,08:31,2019-09-02 8:31,2019-09-02 8:49,3,125
11110537,관악02,03,[03] 08:31,16_유전공학연구소.반도체공동연구소,16,90,유전공학연구소.반도체공동연구소,서울70사8904,08:31,2019-09-02 8:31,2019-09-02 8:49,2,127
11110537,관악02,03,[03] 08:31,17_에너지자원연구소,17,91,에너지자원연구소,서울70사8904,08:31,2019-09-02 8:31,2019-09-02 8:50,1,128
11110537,관악02,03,[03] 08:31,18_신소재연구소,18,92,신소재연구소,서울70사8904,08:31,2019-09-02 8:31,2019-09-02 8:51,3,131
11110537,관악02,03,[03] 08:31,19_제2파워플랜트,19,93,제2파워플랜트,서울70사8904,08:31,2019-09-02 8:31,,0,131
11110537,관악02,03,[03] 08:31,20_건설환경종합연구소,20,94,건설환경종합연구소,서울70사8904,08:31,2019-09-02 8:31,,0,131
11110537,관악02,03,[03] 08:31,21_제2공학관,21,95,제2공학관,서울70사8904,08:31,2019-09-02 8:31,2019-09-02 8:54,8,139
11110537,관악02,03,[03] 08:31,22_유회진학술정보관.제1공학관,22,96,유회진학술정보관.제1공학관,서울70사8904,08:31,2019-09-02 8:31,,0,139
11110537,관악02,03,[03] 08:31,23_유전공학연구소.반도체공동연구소,23,97,유전공학연구소.반도체공동연구소,서울70사8904,08:31,2019-09-02 8:31,,0,139
11110537,관악02,03,[03] 08:31,24_교수회관입구,24,98,교수회관입구,서울70사8904,08:31,2019-09-02 8:31,,0,139
11110537,관악02,03,[03] 08:31,25_관악사삼거리,25,99,관악사삼거리,서울70사8904,08:31,2019-09-02 8:31,,0,139
11110537,관악02,03,[03] 08:31,26_대학원생활관,26,100,대학원생활관,서울70사8904,08:31,2019-09-02 8:31,2019-09-02 9:03,1,140
11110537,관악02,03,[03] 08:31,27_노천강당,27,101,노천강당,서울70사8904,08:31,2019-09-02 8:31,2019-09-02 8:46,14,154
11110537,관악02,03,[03] 08:31,28_학부생활관,28,102,학부생활관,서울70사8904,08:31,2019-09-02 8:31,,0,154
11110537,관악02,03,[03] 08:31,29_BK국제관,29,103,BK국제관,서울70사8904,08:31,2019-09-02 8:31,,0,154
11110537,관악02,03,[03] 08:31,30_가족생활동,30,104,가족생활동,서울70사8904,08:31,2019-09-02 8:31,,0,154
11110537,관악02,03,[03] 08:31,31_호암교수회관,31,105,호암교수회관,서울70사8904,08:31,2019-09-02 8:31,,0,154
11110537,관악02,03,[03] 08:31,32_인헌아파트,32,106,인헌아파트,서울70사8904,08:31,2019-09-02 8:31,,0,154
11110537,관악02,03,[03] 08:31,33_서울과학전시관,33,107,서울과학전시관,서울70사8904,08:31,2019-09-02 8:31,,0,154
11110537,관악02,03,[03] 08:31,34_낙성대공원.관악복합평생교육센터,34,108,낙성대공원.관악복합평생교육센터,서울70사8904,08:31,2019-09-02 8:31,,0,154
11110537,관악02,03,[03] 08:31,35_낙성대현대아파트,35,109,낙성대현대아파트,서울70사8904,08:31,2019-09-02 8:31,,0,154
11110537,관악02,03,[03] 08:31,36_인헌초등학교,36,110,인헌초등학교,서울70사8904,08:31,2019-09-02 8:31,,0,154
11110537,관악02,03,[03] 08:31,37_낙성대입구,37,111,낙성대입구,서울70사8904,08:31,2019-09-02 8:31,2019-09-02 9:09,1,155
11110537,관악02,04,[04] 09:10,01_낙성대역,01,112,낙성대역,서울70사8904,09:10,2019-09-02 9:10,2019-09-02 9:10,2,157
11110537,관악02,04,[04] 09:10,02_낙성대입구,02,113,낙성대입구,서울70사8904,09:10,2019-09-02 9:10,2019-09-02 9:19,1,158
11110537,관악02,04,[04] 09:10,03_인헌초등학교,03,114,인헌초등학교,서울70사8904,09:10,2019-09-02 9:10,,0,158
11110537,관악02,04,[04] 09:10,04_낙성대현대아파트,04,115,낙성대현대아파트,서울70사8904,09:10,2019-09-02 9:10,2019-09-02 9:20,1,159
11110537,관악02,04,[04] 09:10,05_낙성대공원.관악복합평생교육센터,05,116,낙성대공원.관악복합평생교육센터,서울70사8904,09:10,2019-09-02 9:10,,0,159
11110537,관악02,04,[04] 09:10,06_서울과학전시관,06,117,서울과학전시관,서울70사8904,09:10,2019-09-02 9:10,2019-09-02 9:22,1,160
11110537,관악02,04,[04] 09:10,07_호암교수회관,07,118,호암교수회관,서울70사8904,09:10,2019-09-02 9:10,2019-09-02 9:23,7,167
11110537,관악02,04,[04] 09:10,08_인헌아파트,08,119,인헌아파트,서울70사8904,09:10,2019-09-02 9:10,,0,167
11110537,관악02,04,[04] 09:10,09_교수아파트,09,120,교수아파트,서울70사8904,09:10,2019-09-02 9:10,,0,167
11110537,관악02,04,[04] 09:10,10_가족생활동,10,121,가족생활동,서울70사8904,09:10,2019-09-02 9:10,,0,167
11110537,관악02,04,[04] 09:10,11_서울대후문.연구공원,11,122,서울대후문.연구공원,서울70사8904,09:10,2019-09-02 9:10,2019-09-02 9:25,1,168
11110537,관악02,04,[04] 09:10,12_학부생활관,12,123,학부생활관,서울70사8904,09:10,2019-09-02 9:10,,0,168
11110537,관악02,04,[04] 09:10,13_대학원생활관,13,124,대학원생활관,서울70사8904,09:10,2019-09-02 9:10,2019-09-02 9:26,2,170
11110537,관악02,04,[04] 09:10,14_기숙사삼거리,14,125,기숙사삼거리,서울70사8904,09:10,2019-09-02 9:10,2019-09-02 9:27,9,179
11110537,관악02,04,[04] 09:10,15_공동기기원,15,126,공동기기원,서울70사8904,09:10,2019-09-02 9:10,2019-09-02 9:31,1,180
11110537,관악02,04,[04] 09:10,16_유전공학연구소.반도체공동연구소,16,127,유전공학연구소.반도체공동연구소,서울70사8904,09:10,2019-09-02 9:10,2019-09-02 9:31,2,182
11110537,관악02,04,[04] 09:10,17_에너지자원연구소,17,128,에너지자원연구소,서울70사8904,09:10,2019-09-02 9:10,2019-09-02 9:32,3,185
11110537,관악02,04,[04] 09:10,18_신소재연구소,18,129,신소재연구소,서울70사8904,09:10,2019-09-02 9:10,2019-09-02 9:33,1,186
11110537,관악02,04,[04] 09:10,19_제2파워플랜트,19,130,제2파워플랜트,서울70사8904,09:10,2019-09-02 9:10,,0,186
11110537,관악02,04,[04] 09:10,20_건설환경종합연구소,20,131,건설환경종합연구소,서울70사8904,09:10,2019-09-02 9:10,2019-09-02 9:34,4,190
11110537,관악02,04,[04] 09:10,21_제2공학관,21,132,제2공학관,서울70사8904,09:10,2019-09-02 9:10,2019-09-02 9:35,6,196
11110537,관악02,04,[04] 09:10,22_유회진학술정보관.제1공학관,22,133,유회진학술정보관.제1공학관,서울70사8904,09:10,2019-09-02 9:10,,0,196
11110537,관악02,04,[04] 09:10,23_유전공학연구소.반도체공동연구소,23,134,유전공학연구소.반도체공동연구소,서울70사8904,09:10,2019-09-02 9:10,,0,196
11110537,관악02,04,[04] 09:10,24_교수회관입구,24,135,교수회관입구,서울70사8904,09:10,2019-09-02 9:10,,0,196
11110537,관악02,04,[04] 09:10,25_관악사삼거리,25,136,관악사삼거리,서울70사8904,09:10,2019-09-02 9:10,,0,196
11110537,관악02,04,[04] 09:10,26_대학원생활관,26,137,대학원생활관,서울70사8904,09:10,2019-09-02 9:10,,0,196
11110537,관악02,04,[04] 09:10,27_노천강당,27,138,노천강당,서울70사8904,09:10,2019-09-02 9:10,2019-09-02 9:28,13,209
11110537,관악02,04,[04] 09:10,28_학부생활관,28,139,학부생활관,서울70사8904,09:10,2019-09-02 9:10,,0,209
11110537,관악02,04,[04] 09:10,29_BK국제관,29,140,BK국제관,서울70사8904,09:10,2019-09-02 9:10,,0,209
11110537,관악02,04,[04] 09:10,30_가족생활동,30,141,가족생활동,서울70사8904,09:10,2019-09-02 9:10,,0,209
11110537,관악02,04,[04] 09:10,31_호암교수회관,31,142,호암교수회관,서울70사8904,09:10,2019-09-02 9:10,,0,209
11110537,관악02,04,[04] 09:10,32_인헌아파트,32,143,인헌아파트,서울70사8904,09:10,2019-09-02 9:10,2019-09-02 9:50,2,211
11110537,관악02,04,[04] 09:10,33_서울과학전시관,33,144,서울과학전시관,서울70사8904,09:10,2019-09-02 9:10,,0,211
11110537,관악02,04,[04] 09:10,34_낙성대공원.관악복합평생교육센터,34,145,낙성대공원.관악복합평생교육센터,서울70사8904,09:10,2019-09-02 9:10,,0,211
11110537,관악02,04,[04] 09:10,35_낙성대현대아파트,35,146,낙성대현대아파트,서울70사8904,09:10,2019-09-02 9:10,,0,211
11110537,관악02,04,[04] 09:10,36_인헌초등학교,36,147,인헌초등학교,서울70사8904,09:10,2019-09-02 9:10,2019-09-02 9:54,1,212
11110537,관악02,04,[04] 09:10,37_낙성대입구,37,148,낙성대입구,서울70사8904,09:10,2019-09-02 9:10,2019-09-02 9:54,1,213
11110537,관악02,05,[05] 09:55,01_낙성대역,01,149,낙성대역,서울70사8904,09:55,2019-09-02 9:55,2019-09-02 9:55,8,221
11110537,관악02,05,[05] 09:55,02_낙성대입구,02,150,낙성대입구,서울70사8904,09:55,2019-09-02 9:55,,0,221
11110537,관악02,05,[05] 09:55,03_인헌초등학교,03,151,인헌초등학교,서울70사8904,09:55,2019-09-02 9:55,,0,221
11110537,관악02,05,[05] 09:55,04_낙성대현대아파트,04,152,낙성대현대아파트,서울70사8904,09:55,2019-09-02 9:55,,0,221
11110537,관악02,05,[05] 09:55,05_낙성대공원.관악복합평생교육센터,05,153,낙성대공원.관악복합평생교육센터,서울70사8904,09:55,2019-09-02 9:55,,0,221
11110537,관악02,05,[05] 09:55,06_서울과학전시관,06,154,서울과학전시관,서울70사8904,09:55,2019-09-02 9:55,,0,221
11110537,관악02,05,[05] 09:55,07_호암교수회관,07,155,호암교수회관,서울70사8904,09:55,2019-09-02 9:55,2019-09-02 10:11,4,225
11110537,관악02,05,[05] 09:55,08_인헌아파트,08,156,인헌아파트,서울70사8904,09:55,2019-09-02 9:55,,0,225
11110537,관악02,05,[05] 09:55,09_교수아파트,09,157,교수아파트,서울70사8904,09:55,2019-09-02 9:55,,0,225
11110537,관악02,05,[05] 09:55,10_가족생활동,10,158,가족생활동,서울70사8904,09:55,2019-09-02 9:55,,0,225
11110537,관악02,05,[05] 09:55,11_서울대후문.연구공원,11,159,서울대후문.연구공원,서울70사8904,09:55,2019-09-02 9:55,,0,225
11110537,관악02,05,[05] 09:55,12_학부생활관,12,160,학부생활관,서울70사8904,09:55,2019-09-02 9:55,2019-09-02 10:14,1,226
11110537,관악02,05,[05] 09:55,13_대학원생활관,13,161,대학원생활관,서울70사8904,09:55,2019-09-02 9:55,,0,226
11110537,관악02,05,[05] 09:55,14_기숙사삼거리,14,162,기숙사삼거리,서울70사8904,09:55,2019-09-02 9:55,2019-09-02 10:15,6,232
11110537,관악02,05,[05] 09:55,15_공동기기원,15,163,공동기기원,서울70사8904,09:55,2019-09-02 9:55,2019-09-02 10:18,1,233
11110537,관악02,05,[05] 09:55,16_유전공학연구소.반도체공동연구소,16,164,유전공학연구소.반도체공동연구소,서울70사8904,09:55,2019-09-02 9:55,,0,233
11110537,관악02,05,[05] 09:55,17_에너지자원연구소,17,165,에너지자원연구소,서울70사8904,09:55,2019-09-02 9:55,,0,233
11110537,관악02,05,[05] 09:55,18_신소재연구소,18,166,신소재연구소,서울70사8904,09:55,2019-09-02 9:55,2019-09-02 10:20,2,235
11110537,관악02,05,[05] 09:55,19_제2파워플랜트,19,167,제2파워플랜트,서울70사8904,09:55,2019-09-02 9:55,2019-09-02 10:22,1,236
11110537,관악02,05,[05] 09:55,20_건설환경종합연구소,20,168,건설환경종합연구소,서울70사8904,09:55,2019-09-02 9:55,2019-09-02 10:22,4,240
